age_years,sqft,rooms,bedrooms,bathrooms,pool,garage,zip_median_income,dist_transit_ft,trust_score,house_value
19.6,3345,7,4,3,0,1,79400,1675,9,1251033
59.3,4909,10,5,3,0,1,94468,1637,8,1371349
26.7,3083,9,5,4,0,1,44875,2865,6,1185161
78.3,1506,4,2,2,0,0,57298,1830,6,672713
7.1,2423,6,4,2,0,0,53158,1386,5,970113
29.1,3364,8,5,3,0,0,71638,3575,7,1247911
25.1,2159,5,3,2,0,1,56258,1040,7,773139
34.9,2855,7,4,3,0,0,74869,3793,7,1094678
28.8,2524,5,3,2,0,1,41743,2173,5,965582
29.0,2478,5,3,2,0,0,40000,800,6,1056324
59.4,1021,2,1,1,0,1,40000,1532,7,779832
44.6,1578,3,2,1,0,0,82987,2412,7,878674
21.5,1678,4,2,1,0,0,76631,2466,7,1040448
64.1,2656,7,4,3,0,0,146235,1863,10,1011128
56.9,2493,6,3,2,0,0,58500,1074,8,1116467
15.5,883,3,2,1,0,0,50382,5090,6,792063
32.0,2962,8,5,3,0,0,68326,2523,8,1425089
4.9,3407,8,5,3,0,0,82559,2194,8,1022916
57.4,2045,4,3,1,0,0,71581,4987,4,1020667
33.4,2282,7,4,3,0,1,53140,1814,6,1172692
22.3,2331,5,3,2,0,1,59654,3364,6,1175621
42.4,1332,3,2,1,0,0,67189,5318,4,389197
29.7,1300,3,1,1,0,0,54221,708,6,812769
48.8,2668,6,4,2,0,1,47147,5553,4,915144
104.2,1301,3,2,1,0,1,122812,1286,10,1130231
45.2,1868,5,3,2,0,1,54298,982,6,981704
58.8,1121,3,1,1,0,0,82627,994,6,836585
98.4,1691,4,2,1,0,0,90206,2611,7,691119
81.2,2292,5,3,1,0,0,79772,1602,7,1040578
23.4,1303,4,2,1,0,1,70555,1055,7,745188
56.5,4100,8,5,3,0,0,75012,1055,8,1410484
81.6,926,2,1,1,0,0,64440,1503,6,411951
23.8,1372,3,2,1,0,0,48862,3448,5,871559
54.1,2235,5,2,1,0,1,95951,954,6,1150769
71.1,1297,5,3,2,0,0,40000,1757,5,699343
54.4,1782,4,2,1,0,0,105581,2062,9,929824
18.2,2029,5,3,2,0,0,77372,733,7,952551
40.6,1192,3,2,1,0,0,69080,7271,6,748528
63.7,4228,9,5,3,0,1,60745,2578,7,1444994
19.4,2037,5,2,1,0,0,86306,1022,8,1051832
29.5,2110,5,3,2,0,1,65937,3411,7,661609
34.3,3005,7,4,3,0,0,57271,3292,5,1019328
66.3,2653,7,4,3,0,0,40000,2622,4,1193761
25.0,1459,3,2,1,0,0,55858,2156,5,738702
31.0,1295,3,2,1,0,0,59220,1816,8,568502
19.6,2110,6,3,2,0,0,79707,1539,7,1168450
92.9,2359,6,4,2,0,1,55397,6716,5,1030734
39.9,1940,4,3,1,0,0,58846,3011,7,1020710
63.4,2471,7,4,3,0,0,69716,3001,6,962029
17.4,3058,8,5,3,0,1,40000,1730,5,1395113
